sample,date,event_date,relative_session,strategy,return,cumulative_return_window,drawdown_window,probability_high_risk,assigned_regime,economic_label,strategy_exposure
ROBUST,2022-02-15,2022-02-24,-7,Regime-based,0.0100191077064058,0.006799928205003747,-0.011413699113962839,0.0484989157414718,1,medium_risk,0.6007078845462236
ROBUST,2022-02-16,2022-02-24,-6,Regime-based,0.0013215217507297,0.00813131574379189,-0.010106397191163796,0.0287113962758625,1,medium_risk,0.6007078845462236
ROBUST,2022-02-17,2022-02-24,-5,Regime-based,-0.0045618853561038,0.0035428103328263294,-0.014611893729000625,0.020855085346259,1,medium_risk,0.6007078845462236
ROBUST,2022-02-18,2022-02-24,-4,Regime-based,-0.0056447774903742,-0.002106007374788943,-0.0201585208646492,0.0176345670453373,1,medium_risk,0.6007078845462236
ROBUST,2022-02-21,2022-02-24,-3,Regime-based,-0.0071119381773426,-0.00917779090689419,-0.02710237150152295,0.0177702237500641,1,medium_risk,0.6007078845462236
ROBUST,2022-02-22,2022-02-24,-2,Regime-based,0.0003041940094412,-0.008876342879449273,-0.026806376853517278,0.012466571520569,1,medium_risk,0.6007078845462236
ROBUST,2022-02-23,2022-02-24,-1,Regime-based,-0.0037674931139363,-0.012603369251163454,-0.03046597903553827,0.0106658330788239,1,medium_risk,0.6007078845462236
ROBUST,2022-02-24,2022-02-24,0,Regime-based,-0.0174462989534601,-0.02968038752690705,-0.04723406359180082,0.0555753514755835,1,medium_risk,0.6007078845462236
ROBUST,2022-02-25,2022-02-24,1,Regime-based,0.0207467636853647,-0.009339117684531884,-0.02726077977894803,0.2610380865081124,1,medium_risk,0.6007078845462236
ROBUST,2022-02-28,2022-02-24,2,Regime-based,-0.0005239819756645,-0.00985807015811635,-0.027770344084451337,0.1498921772729406,1,medium_risk,0.6007078845462236
ROBUST,2022-03-01,2022-02-24,3,Regime-based,-0.0209779276055931,-0.030412843809486056,-0.047953269291632905,0.5117310337722837,2,high_risk,0.6007078845462236
ROBUST,2022-03-02,2022-02-24,4,Regime-based,0.0062512683646678,-0.024332709818693177,-0.04198312864853038,0.4597584311345437,1,medium_risk,0.3885593625672592
ROBUST,2022-03-03,2022-02-24,5,Regime-based,-0.0227769956713504,-0.04630430610544489,-0.06355724530188245,0.8769919929591445,2,high_risk,0.6007078845462236
ROBUST,2022-03-04,2022-02-24,6,Regime-based,-0.0143512808391256,-0.05989331775126294,-0.0769004234043954,0.9770668775555144,2,high_risk,0.3885593625672592
ROBUST,2022-03-07,2022-02-24,7,Regime-based,-0.0038589368589537,-0.06351413932457128,-0.0804557420978591,0.9172417180070612,2,high_risk,0.3885593625672592
ROBUST,2022-03-08,2022-02-24,8,Regime-based,0.0069916280493862,-0.05694363602101726,-0.07400410322319151,0.8864440261623656,2,high_risk,0.3885593625672592
ROBUST,2022-03-09,2022-02-24,9,Regime-based,0.0185073787472916,-0.03932762443491844,-0.05670677607566621,0.9962634116155888,2,high_risk,0.3885593625672592
ROBUST,2022-03-10,2022-02-24,10,Regime-based,-0.0044906961326269,-0.043632040011704065,-0.06093332213841507,0.9488917163343142,2,high_risk,0.3885593625672592
ROBUST,2022-03-11,2022-02-24,11,Regime-based,0.0034898189857178,-0.0402886584425739,-0.05765042438953494,0.8721593271920047,2,high_risk,0.3885593625672592
ROBUST,2022-03-14,2022-02-24,12,Regime-based,0.0043799983749043,-0.036075905134775654,-0.053513882369188526,0.7820632020797043,2,high_risk,0.3885593625672592
ROBUST,2022-03-15,2022-02-24,13,Regime-based,8.017332281411842e-05,-0.03599862103912976,-0.053437996390165776,0.6087246084148805,2,high_risk,0.3885593625672592
ROBUST,2022-03-16,2022-02-24,14,Regime-based,0.0067488134249335,-0.02947075268512045,-0.047028221172693674,0.5853461084424827,2,high_risk,0.3885593625672592
ROBUST,2022-03-17,2022-02-24,15,Regime-based,0.0014623684861544,-0.028050443044039697,-0.04563360580289311,0.401304000476366,1,medium_risk,0.3885593625672592
ROBUST,2022-03-18,2022-02-24,16,Regime-based,0.0003997397091009,-0.027661838545731565,-0.04525203139796141,0.234180451150016,1,medium_risk,0.6007078845462236
ROBUST,2022-03-21,2022-02-24,17,Regime-based,-0.0020301030986155,-0.029633782957720456,-0.047188302127814,0.1248739412880671,1,medium_risk,0.6007078845462236
ROBUST,2022-03-22,2022-02-24,18,Regime-based,0.0069766103002513,-0.02284024563684628,-0.04051766405779744,0.0886670145701653,1,medium_risk,0.6007078845462236
ROBUST,2022-03-23,2022-02-24,19,Regime-based,-0.0113460271787008,-0.033864467940607934,-0.05134245142826488,0.1190344172575555,1,medium_risk,0.6007078845462236
ROBUST,2022-03-24,2022-02-24,20,Regime-based,-0.0016829858019731,-0.035489092830063185,-0.05293768585846337,0.0651847200931028,1,medium_risk,0.6007078845462236
